"","endTime","artistName","trackName","msPlayed","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","genre"
"6392","2023-10-06 07:30","The Killers","Somebody Told Me",197200,0.497,0.97,10,-4.851,0,0.0836,9.04e-05,0.000674,0.101,0.689,138.081,"audio_features","6PwjJ58I4t7Mae9xfZ9l9v","spotify:track:6PwjJ58I4t7Mae9xfZ9l9v","https://api.spotify.com/v1/tracks/6PwjJ58I4t7Mae9xfZ9l9v","https://api.spotify.com/v1/audio-analysis/6PwjJ58I4t7Mae9xfZ9l9v",197200,4,"alternative rock"
"6403","2023-10-06 07:33","Nirvana","Rape Me",169350,0.42,0.746,8,-10.628,1,0.0467,0.0141,0,0.0661,0.229,111.886,"audio_features","5Rizj5FLb2AyNKu9esjYY6","spotify:track:5Rizj5FLb2AyNKu9esjYY6","https://api.spotify.com/v1/tracks/5Rizj5FLb2AyNKu9esjYY6","https://api.spotify.com/v1/audio-analysis/5Rizj5FLb2AyNKu9esjYY6",170000,4,"grunge"
"6417","2023-10-06 07:36","Arctic Monkeys","Mardy Bum",175440,0.634,0.599,2,-5.447,1,0.0365,0.0288,0,0.197,0.312,112.215,"audio_features","2fyIS6GXMgUcSv4oejx63f","spotify:track:2fyIS6GXMgUcSv4oejx63f","https://api.spotify.com/v1/tracks/2fyIS6GXMgUcSv4oejx63f","https://api.spotify.com/v1/audio-analysis/2fyIS6GXMgUcSv4oejx63f",175440,4,"garage rock"
"6423","2023-10-06 07:40","Foo Fighters","Rescued",258648,0.274,0.956,4,-4.978,1,0.0814,1.37e-05,1.33e-06,0.117,0.339,150.207,"audio_features","3nDstVXtr6xbCZKs5Ka2rZ","spotify:track:3nDstVXtr6xbCZKs5Ka2rZ","https://api.spotify.com/v1/tracks/3nDstVXtr6xbCZKs5Ka2rZ","https://api.spotify.com/v1/audio-analysis/3nDstVXtr6xbCZKs5Ka2rZ",258648,4,"alternative metal"
"6433","2023-10-06 07:44","The Smiths","There Is a Light That Never Goes Out - 2011 Remaster",244586,0.523,0.769,4,-5.855,1,0.0269,0.04,0,0.136,0.876,136.162,"audio_features","0WQiDwKJclirSYG9v5tayI","spotify:track:0WQiDwKJclirSYG9v5tayI","https://api.spotify.com/v1/tracks/0WQiDwKJclirSYG9v5tayI","https://api.spotify.com/v1/audio-analysis/0WQiDwKJclirSYG9v5tayI",244587,4,"madchester"
"6443","2023-10-06 07:48","Palaye Royale","Lifeless Stars",197129,0.487,0.691,1,-6.278,1,0.0264,0.0557,0,0.172,0.475,81.519,"audio_features","243CJRiApoSoUqFTm641Uf","spotify:track:243CJRiApoSoUqFTm641Uf","https://api.spotify.com/v1/tracks/243CJRiApoSoUqFTm641Uf","https://api.spotify.com/v1/audio-analysis/243CJRiApoSoUqFTm641Uf",197130,4,"modern alternative rock"
"6453","2023-10-06 07:51","Blondie","Call Me",212600,0.554,0.833,2,-6.667,0,0.0347,0.000646,0.0025,0.0737,0.773,142.673,"audio_features","7HKxTNVlkHsfMLhigmhC0I","spotify:track:7HKxTNVlkHsfMLhigmhC0I","https://api.spotify.com/v1/tracks/7HKxTNVlkHsfMLhigmhC0I","https://api.spotify.com/v1/audio-analysis/7HKxTNVlkHsfMLhigmhC0I",212227,4,"candy pop"
"6473","2023-10-06 09:25","Arctic Monkeys","Snap Out Of It",130011,0.728,0.638,5,-6.455,0,0.0336,0.249,0,0.116,0.872,130.014,"audio_features","0NdTUS4UiNYCNn5FgVqKQY","spotify:track:0NdTUS4UiNYCNn5FgVqKQY","https://api.spotify.com/v1/tracks/0NdTUS4UiNYCNn5FgVqKQY","https://api.spotify.com/v1/audio-analysis/0NdTUS4UiNYCNn5FgVqKQY",193030,4,"garage rock"
"6483","2023-10-06 10:38","Arctic Monkeys","Snap Out Of It",63269,0.728,0.638,5,-6.455,0,0.0336,0.249,0,0.116,0.872,130.014,"audio_features","0NdTUS4UiNYCNn5FgVqKQY","spotify:track:0NdTUS4UiNYCNn5FgVqKQY","https://api.spotify.com/v1/tracks/0NdTUS4UiNYCNn5FgVqKQY","https://api.spotify.com/v1/audio-analysis/0NdTUS4UiNYCNn5FgVqKQY",193030,4,"garage rock"
"6492","2023-10-06 10:42","Franz Ferdinand","Take Me Out",237026,0.277,0.663,4,-8.821,0,0.0377,0.000409,0.00051,0.136,0.527,104.561,"audio_features","20I8RduZC2PWMWTDCZuuAN","spotify:track:20I8RduZC2PWMWTDCZuuAN","https://api.spotify.com/v1/tracks/20I8RduZC2PWMWTDCZuuAN","https://api.spotify.com/v1/audio-analysis/20I8RduZC2PWMWTDCZuuAN",237027,4,"alternative rock"
